ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
297886,3,10.02.2017,29.09.2016,96000,0,,,,,0,15.04.2025,10.02.2017,1,3,2017,70,658,KOROŠKA VRATA,MARIBOR,370,1,,,1,MARIBOR,ROSINOVA ULICA,4,,1,2,1966,1,,,70,5/8,,,,,,,,1121001 - Stanovanje v samostoječi stavbi z dvema stanovanjema,pritličje,3,70.2,64.2, Stopnišče,,,548706.42,158322.21,2017,70
297886,3,10.02.2017,29.09.2016,96000,0,,,,,0,15.04.2025,10.02.2017,1,3,2017,70,658,KOROŠKA VRATA,MARIBOR,371,1,,,1,,,,,,13,1966,1,,,75,5/8,,,,,,,,1271401 - Drug kmetijski del stavbe,pritličje,,75,75,-,,,548722.26,158323.13,2017,70
264467,1,18.01.2017,22.03.2016,50000,0,,,,,1,15.04.2025,18.01.2017,1,1,2017,70,658,KOROŠKA VRATA,MARIBOR,1374,5,,,1,MARIBOR,VRBANSKA CESTA,26,A,5,2,1962,1,,,57,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,57,48.6," Klet, shramba | Odprt balkon",,,548563.06,158701.54,2017,70
260001,1,18.01.2017,24.02.2016,68500,0,,,,,0,15.04.2025,18.01.2017,1,1,2017,70,678,SPODNJE RADVANJE,MARIBOR,1565,109,,,1,MARIBOR,ULICA STANETA SEVERJA,14,,109,2,1980,1,,,77,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,76.9,63.5," Klet, shramba | Odprta loža",,,548432.56,155308.53,2017,70
344566,1,16.10.2017,31.08.2017,65000,0,,,,,0,15.04.2025,16.10.2017,1,1,2017,70,681,POBREŽJE,MARIBOR,945,19,,,1,MARIBOR,SHAKESPEAROVA ULICA,6,,19,2,1964,1,,,53,1/1,,,4,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,53,42.9," Klet, shramba | Odprt balkon",,,550827.74,157180.68,2017,70
344567,1,16.10.2017,31.08.2017,150000,0,,,,,0,15.04.2025,16.10.2017,1,1,2017,70,657,MARIBOR-GRAD,MARIBOR,343,2,,,1,MARIBOR,PREŠERNOVA ULICA,31,,2,2,1906,1,,,106,1/1,,,1,1,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,106,101.9, Zaprta loža,,,549932.12,158623.75,2017,70
344598,3,16.10.2017,18.08.2017,60500,0,,,,,0,15.04.2025,16.10.2017,1,3,2017,70,678,SPODNJE RADVANJE,MARIBOR,1681,40,,,1,MARIBOR,JADRANSKA CESTA,27,,106,6,1995,1,,,226,1/1,,,,,,,,1230104 - Prodajalna,pritličje,,226,226,-,,,549401.58,155336.04,2017,70
356784,1,18.12.2017,28.10.2017,88000,0,,,,,1,15.04.2025,18.12.2017,1,1,2017,70,659,TABOR,MARIBOR,2851,328,,,1,MARIBOR,CESTA PROLETARSKIH BRIGAD,64,,328,2,1979,1,,,100,1/1,,,7,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,4,100.2,92," Klet, shramba | Zaprta loža",,,548417.33,156217.43,2017,70
356785,1,18.12.2017,02.11.2017,45000,0,,,,,0,15.04.2025,18.12.2017,1,1,2017,70,681,POBREŽJE,MARIBOR,1776,22,,,1,MARIBOR,MEJNA ULICA,58,,22,2,1977,1,,,50,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,mansarda,1,50.2,36.5," Klet, shramba | Odprt balkon",,,550357.54,156816.05,2017,70
337458,1,17.08.2017,12.04.2017,34079.34,0,,,,,0,15.04.2025,17.08.2017,1,3,2017,70,654,OREŠJE,MARIBOR,313,1,,,1,MELJSKI HRIB,MELJSKI HRIB,41,D,,1,1987,1,,,85,31/42,,,,1,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,1,84.7,38.1," Drvarnica | Klet, shramba | Odprt balkon | Podstrešje | Stopnišče",,,552022.12,158426.81,2017,70
