ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
966279,1,15.10.2025,03.09.2025,220000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,2636,BEŽIGRAD,LJUBLJANA,3917,221,,,1,,,,,221,14,2006,1,,,5.8,1/1,,,,,0,,,33 - klet,klet,,5.8,5.8, klet,,,463233.15,102875.39,2025,61
966279,1,15.10.2025,03.09.2025,220000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,2636,BEŽIGRAD,LJUBLJANA,3917,41,,,1,,,,,41,3,2006,1,,,17,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,17,17, garažni parkirni prostor,,,463233.15,102875.39,2025,61
966279,1,15.10.2025,03.09.2025,220000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,2636,BEŽIGRAD,LJUBLJANA,3912,15,,,1,LJUBLJANA,SAVSKA CESTA,23,,15,2,2006,1,,,39.1,1/1,,,,,0,,,2 - stanovanje,nadstropje,,39.1,30.6," bivalni prostor | odprta terasa, balkon, loža",,,463229.45,102857.91,2025,61
967284,1,15.10.2025,10.09.2025,218000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,1723,VIČ,LJUBLJANA,4603,37,,,1,LJUBLJANA,VIŠKA CESTA,6,,37,2,2009,1,,,45.7,1/1,,,,,0,,,2 - stanovanje,nadstropje,,45.7,33.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,459494.88,100404.37,2025,61
967284,1,15.10.2025,10.09.2025,218000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,1723,VIČ,LJUBLJANA,4603,83,,,1,,,,,,4,2009,1,,,13.5,1/1,,,,,0,,,15 - garaža,pritličje,,13.5,13.5, garaža,,,459494.88,100404.37,2025,61
900595,1,15.03.2025,18.02.2025,131000,0,,,,,,15.04.2025,15.03.2025,1,3,2025,61,2636,BEŽIGRAD,LJUBLJANA,150,132,,,1,LJUBLJANA,GLAVARJEVA ULICA,10,,132,2,1966,1,,,32.2,1/1,,,,,0,,,2 - stanovanje,nadstropje,,32.2,28.3," bivalni prostor | klet | odprta terasa, balkon, loža",,,462081.58,104022.18,2025,61
973380,1,15.12.2025,07.11.2025,236000,0,,,,,,22.12.2025,15.12.2025,1,5,2025,61,1738,DRAVLJE,LJUBLJANA,2245,220,,,1,LJUBLJANA,SMRTNIKOVA ULICA,4,,52,14,1986,1,,,2.2,1/1,,,,,0,,,33 - klet,klet,,2.2,2.2, klet,,,459506.45,104454.22,2025,61
973380,1,15.12.2025,07.11.2025,236000,0,,,,,,22.12.2025,15.12.2025,1,5,2025,61,1738,DRAVLJE,LJUBLJANA,2245,219,,,1,LJUBLJANA,SMRTNIKOVA ULICA,4,,52,2,1986,1,,,46.9,1/1,,,,,0,,,2 - stanovanje,nadstropje,,46.9,40.4," bivalni prostor | odprta terasa, balkon, loža",,,459506.45,104454.22,2025,61
971914,1,10.12.2025,20.10.2025,387000,1,5,,,"Stanovanje DDV 9,5%, parkirni mesti DDV 22%.",,17.12.2025,10.12.2025,1,5,2025,61,1734,JEŽICA,LJUBLJANA,1710,193,,,1,,,,,,3,2023,1,,1,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.5,12.5, garažni parkirni prostor,17690,4,462343.08,105821.79,2025,61
971914,1,10.12.2025,20.10.2025,387000,1,5,,,"Stanovanje DDV 9,5%, parkirni mesti DDV 22%.",,17.12.2025,10.12.2025,1,5,2025,61,1734,JEŽICA,LJUBLJANA,1710,108,,,1,LJUBLJANA,DUNAJSKA CESTA,221,,108,2,2023,1,,1,68.2,1/1,,,,,0,,,2 - stanovanje,nadstropje,,68.2,59.3," bivalni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",351620,3,462343.08,105821.79,2025,61
971914,1,10.12.2025,20.10.2025,387000,1,5,,,"Stanovanje DDV 9,5%, parkirni mesti DDV 22%.",,17.12.2025,10.12.2025,1,5,2025,61,1734,JEŽICA,LJUBLJANA,1710,192,,,1,,,,,,3,2023,1,,1,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.5,12.5, garažni parkirni prostor,17690,4,462343.08,105821.79,2025,61
900633,1,16.03.2025,05.12.2024,170000,0,,,,,,15.04.2025,16.03.2025,1,3,2025,61,1737,TABOR,LJUBLJANA,525,28,,,1,LJUBLJANA,VRHOVČEVA ULICA,7,,,14,1959,1,,,21.7,1/1,,,,,0,,,"34 - shramba, sušilnica, pralnica",nadstropje,,21.7,21.7," shramba, sušilnica, pralnica",,,462690.63,101692.83,2025,61
900633,1,16.03.2025,05.12.2024,170000,0,,,,,,15.04.2025,16.03.2025,1,3,2025,61,1737,TABOR,LJUBLJANA,525,27,,,1,LJUBLJANA,VRHOVČEVA ULICA,7,,,14,1959,1,,,22.6,1/1,,,,,0,,,"34 - shramba, sušilnica, pralnica",nadstropje,,22.6,22.6," shramba, sušilnica, pralnica",,,462690.63,101692.83,2025,61
900633,1,16.03.2025,05.12.2024,170000,0,,,,,,15.04.2025,16.03.2025,1,3,2025,61,1737,TABOR,LJUBLJANA,525,23,,,1,LJUBLJANA,VRHOVČEVA ULICA,7,,22,2,1959,1,,,21.1,1/1,,,,,0,,,2 - stanovanje,nadstropje,,21.1,16.1," bivalni prostor | odprta terasa, balkon, loža",,,462690.63,101692.83,2025,61
896416,1,19.02.2025,31.12.2024,22000,0,,,,,,15.04.2025,19.02.2025,1,2,2025,61,2636,BEŽIGRAD,LJUBLJANA,8168,1,,,1,,,,,,4,1962,1,,,15,1/2,,,,,0,,,15 - garaža,,,15,15, garaža,,,461923.89,102906.32,2025,61
896945,1,20.02.2025,14.01.2025,27500,0,,,,,,15.04.2025,20.02.2025,1,1,2025,61,1739,ZGORNJA ŠIŠKA,LJUBLJANA,858,9,,,1,,,,,309,4,1973,1,,,13.3,1/1,,,,,0,,,15 - garaža,klet,,13.3,13.3, garaža,,,459566.35,103843.99,2025,61
962736,1,10.09.2025,22.07.2025,240000,0,,,,,,17.09.2025,10.09.2025,1,5,2025,61,2680,NOVE JARŠE,LJUBLJANA,105,3,,,1,LJUBLJANA,KVEDROVA CESTA,36,,3,2,1979,1,,,44.5,1/1,,,,,0,,,2 - stanovanje,pritličje,,44.5,42.9, bivalni prostor | klet,,,464704.46,103680.37,2025,61
909636,1,15.06.2025,12.05.2025,154800,0,,,,,,22.06.2025,15.06.2025,1,5,2025,61,1772,SLAPE,LJUBLJANA,545,1,,,1,,,,,,2,1928,1,,,36,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,36,36, bivalni prostor,,,467820.18,102186.05,2025,61
909636,1,15.06.2025,12.05.2025,154800,0,,,,,,22.06.2025,15.06.2025,1,5,2025,61,1772,SLAPE,LJUBLJANA,2285,5,,,1,,,,,,14,1965,1,,,4.3,1/1,,,,,0,,,"34 - shramba, sušilnica, pralnica",pritličje,,4.3,4.3," shramba, sušilnica, pralnica",,,467816.13,102200.71,2025,61
909636,1,15.06.2025,12.05.2025,154800,0,,,,,,22.06.2025,15.06.2025,1,5,2025,61,1772,SLAPE,LJUBLJANA,545,3,,,1,,,,,,14,1928,1,,,11.4,40/48,,,,,0,,,"34 - shramba, sušilnica, pralnica",pritličje,,11.4,11.4," shramba, sušilnica, pralnica",,,467820.18,102186.05,2025,61
909636,1,15.06.2025,12.05.2025,154800,0,,,,,,22.06.2025,15.06.2025,1,5,2025,61,1772,SLAPE,LJUBLJANA,545,2,,,1,,,,,,14,1928,1,,,11.5,40/48,,,,,0,,,36 - tehnični prostor,pritličje,,11.5,11.5, tehnični prostor,,,467820.18,102186.05,2025,61
967229,1,15.10.2025,10.09.2025,441000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,2706,ZELENA JAMA,LJUBLJANA,174,1,,,1,LJUBLJANA,KAJUHOVA ULICA,8,,,1,1961,1,,,116.7,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,116.7,50," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,463977.4,103030.45,2025,61
967229,1,15.10.2025,10.09.2025,441000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,2706,ZELENA JAMA,LJUBLJANA,181,1,,,1,,,,,,14,1979,1,,,32,1/1,,,,,0,,,29 - del stavbe za spravilo pridelka,pritličje,,32,32, kmetijski prostor,,,463959.01,103018.06,2025,61
968637,1,06.11.2025,15.04.2025,357307,1,3,,,,,13.11.2025,06.11.2025,1,5,2025,61,1737,TABOR,LJUBLJANA,1016,12,,,1,LJUBLJANA,NJEGOŠEVA CESTA,15,a,12,2,2024,1,,1,88.3,1/1,,,,,0,,,2 - stanovanje,nadstropje,,88.3,49.4," bivalni prostor | garažni parkirni prostor | klet | odprta terasa, balkon, loža",,,462723.91,101778.54,2025,61
971770,1,03.12.2025,23.10.2025,26840,1,4,,,,,10.12.2025,03.12.2025,1,5,2025,61,1734,JEŽICA,LJUBLJANA,1710,191,,,1,,,,,,3,2023,1,,1,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.5,12.5, garažni parkirni prostor,,,462343.08,105821.79,2025,61
962822,1,10.09.2025,25.07.2025,457000,0,,,,,,17.09.2025,10.09.2025,1,5,2025,61,2679,GRADIŠČE II,LJUBLJANA,1182,5,,,1,LJUBLJANA,TESLOVA ULICA,9,,5,2,1926,1,,,109.5,1/1,,,,,0,,,2 - stanovanje,nadstropje,,109.5,80.7," bivalni prostor | klet | odprta terasa, balkon, loža",,,460936.79,100582.26,2025,61
908181,2,15.06.2025,15.04.2025,403000,0,,,,,,22.06.2025,15.06.2025,1,5,2025,61,1736,BRINJE I,LJUBLJANA,1242,22,,,1,LJUBLJANA,DUNAJSKA CESTA,106,,45,5,1980,1,,,352.6,1/1,,,,,0,,,9 - poslovni del stavbe,nadstropje,,352.6,352.6, poslovni prostor,,,462272.79,103964.95,2025,61
903593,1,16.04.2025,14.03.2025,190000,0,,,,,,23.04.2025,16.04.2025,1,5,2025,61,1738,DRAVLJE,LJUBLJANA,830,2,,,1,LJUBLJANA,ULICA FRANCA MLAKARJA,14,,7,2,1975,1,,,40.7,1/1,,,,,0,,,2 - stanovanje,pritličje,,40.7,30.8," bivalni prostor | klet | odprta terasa, balkon, loža",,,458758.15,103867.17,2025,61
899987,1,15.03.2025,11.02.2025,152000,0,,,,,,15.04.2025,15.03.2025,1,1,2025,61,2636,BEŽIGRAD,LJUBLJANA,1429,25,,,1,LJUBLJANA,VOJKOVA CESTA,60,,112,2,1961,1,,,26.6,1/1,,,,,0,,,2 - stanovanje,nadstropje,,26.6,20.1, bivalni prostor | klet,,,462730.04,103410.17,2025,61
970760,1,15.11.2025,16.10.2025,270000,0,,,,,,22.11.2025,15.11.2025,1,5,2025,61,1732,ŠTEPANJA VAS,LJUBLJANA,242,98,,,1,LJUBLJANA,JAKČEVA ULICA,43,,98,2,1976,1,,,63,1/1,,,,,0,,,2 - stanovanje,nadstropje,,63,55.7," bivalni prostor | klet | zaprta terasa, balkon, loža",,,464760.51,101694.34,2025,61
903408,1,16.04.2025,14.03.2025,380000,0,,,,,,23.04.2025,16.04.2025,1,5,2025,61,1731,UDMAT,LJUBLJANA,650,1,,,1,,,,,,4,1951,1,,,23.4,1/1,,,,,0,,,15 - garaža,pritličje,,23.4,23.4, garaža,,,463750.56,102405.18,2025,61
903408,1,16.04.2025,14.03.2025,380000,0,,,,,,23.04.2025,16.04.2025,1,5,2025,61,1731,UDMAT,LJUBLJANA,643,1,,,1,LJUBLJANA,ZVEZNA ULICA,16,,,1,1951,1,,,190.6,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,190.6,121.1," bivalni prostor | klet | odprta terasa, balkon, loža",,,463758.86,102414.44,2025,61
898823,1,15.03.2025,07.01.2025,16000,0,,,,,,15.04.2025,15.03.2025,1,3,2025,61,1739,ZGORNJA ŠIŠKA,LJUBLJANA,6193,1,,,1,,,,,,4,1964,1,,,12,1/1,,,,,0,,,15 - garaža,pritličje,,12,12, garaža,,,460564.78,102979.31,2025,61
