ID_POSLA,DEJANSKA_RABA_DELA_STAVBE,OBCINA,IME_KO,NASELJE,E_CENTROID,N_CENTROID,DATUM_UVELJAVITVE,POGODBENA_CENA_ODSKODNINA,POVRSINA,CENA_M2,STEVILO_SOB,NADSTROPJE_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE
451147,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,MOSTE,LJUBLJANA,465271.4,101828.94,19.11.2019,90000.0,23.8,3781.5126050420167,1.0,,1981
452917,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,VIŽMARJE,LJUBLJANA,458298.72,107987.35,15.12.2019,320000.0,78.1,4097.311139564661,4.0,,2017
448046,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,459907.52,103582.89,29.10.2019,180000.0,62.7,2870.8133971291863,2.0,,1959
440154,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,VIŽMARJE,LJUBLJANA,457782.74,107323.91,10.09.2019,38000.0,27.6,1376.8115942028985,1.0,,1948
448526,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BRINJE I,LJUBLJANA,462363.58,104619.87,31.10.2019,260000.0,58.0,4482.758620689655,1.0,,2014
440822,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,VIČ,LJUBLJANA,459445.02,100538.5,10.09.2019,83000.0,26.9,3085.5018587360596,1.0,,1971
454551,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,LJUBLJANA,SPODNJA ŠIŠKA,LJUBLJANA,461295.6,103115.3,10.12.2019,120000.0,108.0,1111.111111111111,3.0,,1900
451639,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,KAŠELJ,LJUBLJANA,468281.92,101147.31,19.11.2019,55000.0,29.2,1883.5616438356165,1.0,,1900
455546,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,VIČ,LJUBLJANA,460116.55,100548.63,11.12.2019,153000.0,56.0,2732.1428571428573,2.0,,1987
440279,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,MOSTE,LJUBLJANA,465332.01,101385.25,10.09.2019,145500.0,55.1,2640.6533575317603,2.0,,1981
454570,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,460198.14,103837.08,10.12.2019,130000.0,52.0,2500.0,2.0,,1965
446782,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,MOSTE,LJUBLJANA,465360.02,101560.11,29.10.2019,87000.0,24.6,3536.5853658536585,1.0,,1980
444128,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BRINJE I,LJUBLJANA,462363.58,104619.87,19.09.2019,280000.0,68.2,4105.571847507331,2.0,,2014
450875,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,TABOR,LJUBLJANA,462315.04,101605.46,19.11.2019,160000.0,63.0,2539.6825396825398,3.0,,1965
450408,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BEŽIGRAD,LJUBLJANA,461845.38,102651.49,18.11.2019,110000.0,42.5,2588.235294117647,2.0,,1964
